date,num_c,num_c_with,sum_mood,sum_mood_with,mood_economy,mood_cb,mood_cb_without_mood_economy,indicator
2014-01-01,0,0,0.0,0.0,,,,
2014-01-02,0,0,0.0,0.0,,,,
2014-01-03,0,0,0.0,0.0,,,,
2014-01-04,1,0,-0.09727413766086102,0.0,-0.09727413766086102,,,
2014-01-05,0,0,0.0,0.0,,,,
2014-01-06,0,0,0.0,0.0,,,,
2014-01-07,1,0,-0.051461078226566315,0.0,-0.051461078226566315,,,
2014-01-08,0,0,0.0,0.0,,,,
2014-01-09,0,0,0.0,0.0,,,,
2014-01-10,0,0,0.0,0.0,,,,
2014-01-11,0,0,0.0,0.0,,,,
2014-01-12,0,0,0.0,0.0,,,,
2014-01-13,0,0,0.0,0.0,,,,
2014-01-14,0,0,0.0,0.0,,,,
2014-01-15,0,0,0.0,0.0,,,,
2014-01-16,11,0,-1.971200453583151,0.0,-0.1792000412348319,,,
2014-01-17,2,0,-0.1568952864035964,0.0,-0.0784476432017982,,,
2014-01-18,0,0,0.0,0.0,,,,
2014-01-19,0,0,0.0,0.0,,,,
2014-01-20,0,0,0.0,0.0,,,,
2014-01-21,0,0,0.0,0.0,,,,
2014-01-22,14,1,-2.5099939391802764,-0.2767724897712469,-0.17928528137001973,-0.2767724897712469,-0.09748720840122718,0.4756281978996932
2014-01-23,2,0,-0.17764708698086906,0.0,-0.08882354349043453,,,
2014-01-24,0,0,0.0,0.0,,,,
2014-01-25,1,0,-0.002050743278232403,0.0,-0.002050743278232403,,,
2014-01-26,1,0,-0.025178844647598453,0.0,-0.025178844647598453,,,
2014-01-27,1,0,-0.08056853711605072,0.0,-0.08056853711605072,,,
2014-01-28,9,1,-1.7576362615800463,-0.17753832787275314,-0.19529291795333847,-0.17753832787275314,0.01775459008058533,0.5044386475201463
2014-01-29,4,0,-1.4217966962605715,0.0,-0.35544917406514287,,,
2014-01-30,1,0,-0.5391609189100564,0.0,-0.5391609189100564,,,
2014-01-31,24,1,-5.111154126672773,-0.01542384922504425,-0.2129647552780322,-0.01542384922504425,0.19754090605298794,0.549385226513247
2014-02-01,6,0,-0.7433879673480988,0.0,-0.12389799455801646,,,
2014-02-02,60,0,-11.502457749214955,0.0,-0.19170762915358258,,,
2014-02-03,10,1,-1.9408562443422852,-0.07612423598766327,-0.19408562443422853,-0.07612423598766327,0.11796138844656526,0.5294903471116413
2014-02-04,1,0,0.03752603009343147,0.0,0.03752603009343147,,,
2014-02-05,7,0,-0.28351012454368174,0.0,-0.040501446363383105,,,
2014-02-06,0,0,0.0,0.0,,,,
2014-02-07,0,0,0.0,0.0,,,,
2014-02-08,0,0,0.0,0.0,,,,
2014-02-09,5,0,0.03146538883447647,0.0,0.006293077766895294,,,
2014-02-10,1,0,0.38291032426059246,0.0,0.38291032426059246,,,
2014-02-11,1,0,-0.44629546254873276,0.0,-0.44629546254873276,,,
2014-02-12,6,0,-1.535843840567395,0.0,-0.2559739734278992,,,
2014-02-13,3,0,-1.1401617429219186,0.0,-0.38005391430730623,,,
2014-02-14,0,0,0.0,0.0,,,,
2014-02-15,10,0,-1.4168951041065156,0.0,-0.14168951041065156,,,
2014-02-16,0,0,0.0,0.0,,,,
2014-02-17,8,0,-1.3971883729100227,0.0,-0.17464854661375284,,,
2014-02-18,0,0,0.0,0.0,,,,
2014-02-19,0,0,0.0,0.0,,,,
2014-02-20,5,1,-1.2439569148118608,-0.23012793064117432,-0.24879138296237216,-0.23012793064117432,0.018663452321197843,0.5046658630802995
2014-02-21,1,0,-0.0792900025844574,0.0,-0.0792900025844574,,,
2014-02-22,0,0,0.0,0.0,,,,
2014-02-23,0,0,0.0,0.0,,,,
2014-02-24,0,0,0.0,0.0,,,,
2014-02-25,1,0,-0.12764811143279076,0.0,-0.12764811143279076,,,
2014-02-26,0,0,0.0,0.0,,,,
2014-02-27,0,0,0.0,0.0,,,,
2014-02-28,0,0,0.0,0.0,,,,
2014-03-01,0,0,0.0,0.0,,,,
2014-03-02,0,0,0.0,0.0,,,,
2014-03-03,2,0,-0.42577983089722693,0.0,-0.21288991544861346,,,
2014-03-04,29,1,-3.5584881820250303,-0.049967870116233826,-0.12270648903534587,-0.049967870116233826,0.07273861891911204,0.518184654729778
2014-03-05,38,2,-7.355128000795958,-0.5591699611395597,-0.19355600002094625,-0.2795849805697799,-0.08602898054883362,0.4784927548627916
2014-03-06,18,0,-0.30059125607658643,0.0,-0.016699514226477023,,,
2014-03-07,1,0,-0.11933021247386932,0.0,-0.11933021247386932,,,
2014-03-08,0,0,0.0,0.0,,,,
2014-03-09,55,0,-12.17303311311116,0.0,-0.22132787478383928,,,
2014-03-10,1,0,-0.4755769204348326,0.0,-0.4755769204348326,,,
2014-03-11,19,0,-1.1932850184384733,0.0,-0.0628044746546565,,,
2014-03-12,7,1,0.5490053127286956,-0.2254718393087387,0.07842933038981366,-0.2254718393087387,-0.30390116969855235,0.4240247075753619
2014-03-13,0,0,0.0,0.0,,,,
2014-03-14,3,0,-0.7170679187402129,0.0,-0.23902263958007097,,,
2014-03-15,0,0,0.0,0.0,,,,
2014-03-16,0,0,0.0,0.0,,,,
2014-03-17,0,0,0.0,0.0,,,,
2014-03-18,0,0,0.0,0.0,,,,
2014-03-19,4,1,-0.06813840568065643,-0.07433728873729706,-0.01703460142016411,-0.07433728873729706,-0.05730268731713295,0.48567432817071676
2014-03-20,6,0,-0.42517477041110396,0.0,-0.070862461735184,,,
2014-03-21,0,0,0.0,0.0,,,,
2014-03-22,0,0,0.0,0.0,,,,
2014-03-23,0,0,0.0,0.0,,,,
2014-03-24,0,0,0.0,0.0,,,,
2014-03-25,2,1,-0.09877944737672806,0.09452066570520401,-0.04938972368836403,0.09452066570520401,0.14391038939356804,0.535977597348392
2014-03-26,1,0,0.018546566905570216,0.0,0.018546566905570216,,,
2014-03-27,0,0,0.0,0.0,,,,
2014-03-28,7,0,-1.4672260622755857,0.0,-0.20960372318222653,,,
2014-03-29,7,0,-2.0093840709887445,0.0,-0.28705486728410634,,,
2014-03-30,1,0,0.8064336404204369,0.0,0.8064336404204369,,,
2014-03-31,1,0,0.11178945004940033,0.0,0.11178945004940033,,,
2014-04-01,10,0,-0.8079834874370135,0.0,-0.08079834874370136,,,
2014-04-02,8,0,-0.648631292002392,0.0,-0.081078911500299,,,
2014-04-03,4,0,0.2835873831063509,0.0,0.07089684577658772,,,
2014-04-04,27,0,-1.8465483867767034,0.0,-0.06839068099172975,,,
2014-04-05,1,0,-0.12742023542523384,0.0,-0.12742023542523384,,,
2014-04-06,2,0,-0.500209478661418,0.0,-0.250104739330709,,,
2014-04-07,23,1,-3.8856284008943476,-0.1413363814353943,-0.16894036525627598,-0.1413363814353943,0.027603983820881695,0.5069009959552204
2014-04-08,1,0,-0.008738727774471045,0.0,-0.008738727774471045,,,
2014-04-09,1,0,-0.8057459271512926,0.0,-0.8057459271512926,,,
2014-04-10,13,0,-1.0072527127340436,0.0,-0.07748097790261874,,,
2014-04-11,20,1,-3.168614224297926,-0.32925525307655334,-0.1584307112148963,-0.32925525307655334,-0.17082454186165705,0.45729386453458576
2014-04-12,28,0,-2.538316282676533,0.0,-0.09065415295273331,,,
2014-04-13,0,0,0.0,0.0,,,,
2014-04-14,3,1,-0.15593742148485035,-0.016484356834553182,-0.051979140494950116,-0.016484356834553182,0.035494783660396934,0.5088736959150992
2014-04-15,0,0,0.0,0.0,,,,
2014-04-16,10,0,-0.46274686453398317,0.0,-0.046274686453398314,,,
2014-04-17,3,0,-0.16564656281843781,0.0,-0.05521552093947927,,,
2014-04-18,0,0,0.0,0.0,,,,
2014-04-19,0,0,0.0,0.0,,,,
2014-04-20,0,0,0.0,0.0,,,,
2014-04-21,3,0,0.756454854272306,0.0,0.25215161809076864,,,
2014-04-22,0,0,0.0,0.0,,,,
2014-04-23,0,0,0.0,0.0,,,,
2014-04-24,7,0,-0.6719227963621961,0.0,-0.09598897090888515,,,
2014-04-25,4,0,-0.32712872326374054,0.0,-0.08178218081593513,,,
2014-04-26,0,0,0.0,0.0,,,,
2014-04-27,0,0,0.0,0.0,,,,
2014-04-28,0,0,0.0,0.0,,,,
2014-04-29,0,0,0.0,0.0,,,,
2014-04-30,0,0,0.0,0.0,,,,
2014-05-01,0,0,0.0,0.0,,,,
2014-05-02,0,0,0.0,0.0,,,,
2014-05-03,0,0,0.0,0.0,,,,
2014-05-04,0,0,0.0,0.0,,,,
2014-05-05,0,0,0.0,0.0,,,,
2014-05-06,0,0,0.0,0.0,,,,
2014-05-07,5,0,-0.5050272874505026,0.0,-0.10100545749010052,,,
2014-05-08,0,0,0.0,0.0,,,,
2014-05-09,0,0,0.0,0.0,,,,
2014-05-10,0,0,0.0,0.0,,,,
2014-05-11,0,0,0.0,0.0,,,,
2014-05-12,0,0,0.0,0.0,,,,
2014-05-13,0,0,0.0,0.0,,,,
2014-05-14,0,0,0.0,0.0,,,,
2014-05-15,4,0,-0.22906997840618715,0.0,-0.05726749460154679,,,
2014-05-16,7,1,-1.1758621651679277,-0.44621581584215164,-0.16798030930970395,-0.44621581584215164,-0.27823550653244766,0.4304411233668881
2014-05-17,7,0,-0.5612868953030556,0.0,-0.08018384218615081,,,
