date,num,num_cb,sum_mood,sum_mood_cb,mood_economy,mood_cb,mood_cb_without_mood_economy,indicator
2014-01-01,0,0,0.0,0.0,,,,
2014-01-02,0,0,0.0,0.0,,,,
2014-01-03,0,0,0.0,0.0,,,,
2014-01-04,1,0,-0.09727413766086102,0.0,-0.09727413766086102,,,
2014-01-05,0,0,0.0,0.0,,,,
2014-01-06,0,0,0.0,0.0,,,,
2014-01-07,1,0,-0.051461078226566315,0.0,-0.051461078226566315,,,
2014-01-08,0,0,0.0,0.0,,,,
2014-01-09,0,0,0.0,0.0,,,,
2014-01-10,0,0,0.0,0.0,,,,
2014-01-11,0,0,0.0,0.0,,,,
2014-01-12,0,0,0.0,0.0,,,,
2014-01-13,0,0,0.0,0.0,,,,
2014-01-14,0,3,0.0,-0.6052830601111054,,-0.20176102003703514,,
2014-01-15,0,1,0.0,-0.2399258567020297,,-0.2399258567020297,,
2014-01-16,11,0,-1.971200453583151,0.0,-0.1792000412348319,,,
2014-01-17,2,0,-0.1568952864035964,0.0,-0.0784476432017982,,,
2014-01-18,0,0,0.0,0.0,,,,
2014-01-19,0,0,0.0,0.0,,,,
2014-01-20,0,3,0.0,-0.46019952424103394,,-0.153399841413678,,
2014-01-21,0,0,0.0,0.0,,,,
2014-01-22,14,13,-2.5099939391802764,-2.4062453060469124,-0.17928528137001973,-0.1850957927728394,-0.005810511402819685,0.49854737214929506
2014-01-23,2,1,-0.17764708698086906,-0.1772165298461914,-0.08882354349043453,-0.1772165298461914,-0.08839298635575688,0.4779017534110608
2014-01-24,0,0,0.0,0.0,,,,
2014-01-25,1,0,-0.002050743278232403,0.0,-0.002050743278232403,,,
2014-01-26,1,0,-0.025178844647598453,0.0,-0.025178844647598453,,,
2014-01-27,1,0,-0.08056853711605072,0.0,-0.08056853711605072,,,
2014-01-28,9,0,-1.7576362615800463,0.0,-0.19529291795333847,,,
2014-01-29,4,0,-1.4217966962605715,0.0,-0.35544917406514287,,,
2014-01-30,1,0,-0.5391609189100564,0.0,-0.5391609189100564,,,
2014-01-31,24,0,-5.111154126672773,0.0,-0.2129647552780322,,,
2014-02-01,6,0,-0.7433879673480988,0.0,-0.12389799455801646,,,
2014-02-02,60,0,-11.502457749214955,0.0,-0.19170762915358258,,,
2014-02-03,10,2,-1.9408562443422852,-0.5553350187838078,-0.19408562443422853,-0.2776675093919039,-0.08358188495767535,0.4791045287605812
2014-02-04,1,0,0.03752603009343147,0.0,0.03752603009343147,,,
2014-02-05,7,1,-0.28351012454368174,0.09094162285327911,-0.040501446363383105,0.09094162285327911,0.1314430692166622,0.5328607673041655
2014-02-06,0,0,0.0,0.0,,,,
2014-02-07,0,0,0.0,0.0,,,,
2014-02-08,0,0,0.0,0.0,,,,
2014-02-09,5,0,0.03146538883447647,0.0,0.006293077766895294,,,
2014-02-10,1,0,0.38291032426059246,0.0,0.38291032426059246,,,
2014-02-11,1,0,-0.44629546254873276,0.0,-0.44629546254873276,,,
2014-02-12,6,2,-1.535843840567395,-0.2859660033136606,-0.2559739734278992,-0.1429830016568303,0.11299097177106887,0.5282477429427672
2014-02-13,3,0,-1.1401617429219186,0.0,-0.38005391430730623,,,
2014-02-14,0,2,0.0,-0.07406222820281982,,-0.03703111410140991,,
2014-02-15,10,2,-1.4168951041065156,-0.5630649458616972,-0.14168951041065156,-0.2815324729308486,-0.13984296252019704,0.4650392593699507
2014-02-16,0,0,0.0,0.0,,,,
2014-02-17,8,2,-1.3971883729100227,-0.4832573365420103,-0.17464854661375284,-0.24162866827100515,-0.06698012165725231,0.4832549695856869
2014-02-18,0,0,0.0,0.0,,,,
2014-02-19,0,0,0.0,0.0,,,,
2014-02-20,5,7,-1.2439569148118608,-1.4249000872368924,-0.24879138296237216,-0.20355715531955607,0.045234227642816094,0.511308556910704
2014-02-21,1,1,-0.0792900025844574,-0.0792900025844574,-0.0792900025844574,-0.0792900025844574,0.0,0.5
2014-02-22,0,0,0.0,0.0,,,,
2014-02-23,0,0,0.0,0.0,,,,
2014-02-24,0,0,0.0,0.0,,,,
2014-02-25,1,0,-0.12764811143279076,0.0,-0.12764811143279076,,,
2014-02-26,0,0,0.0,0.0,,,,
2014-02-27,0,0,0.0,0.0,,,,
2014-02-28,0,0,0.0,0.0,,,,
2014-03-01,0,0,0.0,0.0,,,,
2014-03-02,0,0,0.0,0.0,,,,
2014-03-03,2,1,-0.42577983089722693,-0.32988322526216507,-0.21288991544861346,-0.32988322526216507,-0.1169933098135516,0.4707516725466121
2014-03-04,29,25,-3.5584881820250303,-2.278385998797603,-0.12270648903534587,-0.09113543995190412,0.03157104908344174,0.5078927622708604
2014-03-05,38,4,-7.355128000795958,-0.48773521557450294,-0.19355600002094625,-0.12193380389362574,0.07162219612732051,0.5179055490318302
2014-03-06,18,1,-0.30059125607658643,-0.20623193681240082,-0.016699514226477023,-0.20623193681240082,-0.1895324225859238,0.45261689435351904
2014-03-07,1,0,-0.11933021247386932,0.0,-0.11933021247386932,,,
2014-03-08,0,0,0.0,0.0,,,,
2014-03-09,55,0,-12.17303311311116,0.0,-0.22132787478383928,,,
2014-03-10,1,0,-0.4755769204348326,0.0,-0.4755769204348326,,,
2014-03-11,19,0,-1.1932850184384733,0.0,-0.0628044746546565,,,
2014-03-12,7,7,0.5490053127286956,-1.802305418808828,0.07842933038981366,-0.25747220268697546,-0.3359015330767891,0.4160246167308027
2014-03-13,0,0,0.0,0.0,,,,
2014-03-14,3,0,-0.7170679187402129,0.0,-0.23902263958007097,,,
2014-03-15,0,0,0.0,0.0,,,,
2014-03-16,0,0,0.0,0.0,,,,
2014-03-17,0,0,0.0,0.0,,,,
2014-03-18,0,19,0.0,-2.7611066557001323,,-0.1453214029315859,,
2014-03-19,4,0,-0.06813840568065643,0.0,-0.01703460142016411,,,
2014-03-20,6,0,-0.42517477041110396,0.0,-0.070862461735184,,,
2014-03-21,0,6,0.0,-0.42851306829834357,,-0.0714188447163906,,
2014-03-22,0,0,0.0,0.0,,,,
2014-03-23,0,0,0.0,0.0,,,,
2014-03-24,0,0,0.0,0.0,,,,
2014-03-25,2,2,-0.09877944737672806,-0.09877944737672806,-0.04938972368836403,-0.04938972368836403,0.0,0.5
2014-03-26,1,0,0.018546566905570216,0.0,0.018546566905570216,,,
2014-03-27,0,0,0.0,0.0,,,,
2014-03-28,7,0,-1.4672260622755857,0.0,-0.20960372318222653,,,
2014-03-29,7,0,-2.0093840709887445,0.0,-0.28705486728410634,,,
2014-03-30,1,0,0.8064336404204369,0.0,0.8064336404204369,,,
2014-03-31,1,26,0.11178945004940033,-4.290315426653251,0.11178945004940033,-0.1650121317943558,-0.27680158184375614,0.43079960453906097
2014-04-01,10,5,-0.8079834874370135,-0.43801696971058846,-0.08079834874370136,-0.08760339394211769,-0.006805045198416335,0.4982987387003959
2014-04-02,8,0,-0.648631292002392,0.0,-0.081078911500299,,,
2014-04-03,4,5,0.2835873831063509,-0.2304394319653511,0.07089684577658772,-0.046087886393070224,-0.11698473216965795,0.4707538169575855
2014-04-04,27,14,-1.8465483867767034,-1.8005529448855668,-0.06839068099172975,-0.12861092463468335,-0.0602202436429536,0.4849449390892616
2014-04-05,1,38,-0.12742023542523384,-6.616899940534495,-0.12742023542523384,-0.17412894580353933,-0.046708710378305485,0.48832282240542363
2014-04-06,2,0,-0.500209478661418,0.0,-0.250104739330709,,,
2014-04-07,23,2,-3.8856284008943476,0.015404615551233292,-0.16894036525627598,0.007702307775616646,0.17664267303189263,0.5441606682579732
2014-04-08,1,1,-0.008738727774471045,-0.03058219887316227,-0.008738727774471045,-0.03058219887316227,-0.021843471098691225,0.4945391322253272
2014-04-09,1,0,-0.8057459271512926,0.0,-0.8057459271512926,,,
2014-04-10,13,0,-1.0072527127340436,0.0,-0.07748097790261874,,,
2014-04-11,20,0,-3.168614224297926,0.0,-0.1584307112148963,,,
2014-04-12,28,0,-2.538316282676533,0.0,-0.09065415295273331,,,
2014-04-13,0,0,0.0,0.0,,,,
2014-04-14,3,2,-0.15593742148485035,-0.2573365578427911,-0.051979140494950116,-0.12866827892139554,-0.07668913842644542,0.48082771539338864
2014-04-15,0,0,0.0,0.0,,,,
2014-04-16,10,35,-0.46274686453398317,-4.446852416615002,-0.046274686453398314,-0.12705292618900005,-0.08077823973560173,0.47980544006609954
2014-04-17,3,3,-0.16564656281843781,0.01930734748020768,-0.05521552093947927,0.00643578249340256,0.06165130343288183,0.5154128258582205
2014-04-18,0,0,0.0,0.0,,,,
2014-04-19,0,0,0.0,0.0,,,,
2014-04-20,0,0,0.0,0.0,,,,
2014-04-21,3,0,0.756454854272306,0.0,0.25215161809076864,,,
2014-04-22,0,0,0.0,0.0,,,,
2014-04-23,0,0,0.0,0.0,,,,
2014-04-24,7,0,-0.6719227963621961,0.0,-0.09598897090888515,,,
2014-04-25,4,0,-0.32712872326374054,0.0,-0.08178218081593513,,,
2014-04-26,0,9,0.0,-0.7375037388410419,,-0.08194485987122688,,
2014-04-27,0,1,0.0,0.06263535376638174,,0.06263535376638174,,
2014-04-28,0,1,0.0,-0.009485676884651184,,-0.009485676884651184,,
2014-04-29,0,0,0.0,0.0,,,,
2014-04-30,0,10,0.0,-0.8417747309431434,,-0.08417747309431434,,
