post_id,text,comment_time,from_id
5267463,"ну так вторичкув продают граждане, а первичку застройщики 
застройщики из за повышения первоначального взноса по ипотеке, цены снизили, а граждане-подняли)",1688448330,811358462
5267463,"Да где же такие бабки взять? На кого рассчитано это жильё? Явно не на простого смертного,дааа где ж наш ""застойный совок"" при нём то бесплатно получили ли бы.",1688471867,766909518
4005898,"Заголовок сложно читать. Пропущенный кусок... ""покупки в интернете до 4 раз в месяц"".

Пропущены слова ""в онлайне"" или ""в интернете"".",1627710585,245746260
4005898,"Я совершаю покупки каждый день, как минимум  беру свежий хлеб и молоко",1627744403,34327751
5537808,В интерфакс без якобы🤣🤣🤣,1699720384,143349623
5537808,"ПВО показали себя наши как лучшие в мире, которые сбивают как бпла и ракеты, но и самолеты!",1699720865,711114740
5537808,Что газ что нефть как продавали в Европу так и будут продавать)) иначе газо-нефтяные скважины бы не бурили и новые месторождения не открывали)😁,1699724139,315694919
5537808,"➰Славься_Россия🇷🇺}🌟{🇷🇺°•°•
Славься мудрой силой_и_волей доброй своей. Все_наши_действия аргументированны честью и порядком.",1699728647,775527547
5537808,"Похоже скоро работа нашего ПВО обернется тем, что у Украины и авиации не останется, так как все самолеты мы всушные сбиваем",1699738379,810134531
5537808,что и следовала доказать Европе выгоднее покупать газ у России,1699739186,818276253
5537808,"Кайф, задавать вопросы запрещено? Боже скорей бы увидеть трибунал над путиным в Гааге",1699740735,15529662
5423123,"а деньги же хотели отправить на помощь малоимущим, на СВО, на помощь новым регионам.. надеюсь, что потом так и сделают",1694848181,698212702
5423123,"Национализировали, а потом продали другим? Ммм.",1694848487,113741104
5423123,👏👏👏👏👏👏,1694848501,240943195
5423123,глупо,1694849587,266375371
5423123,А что скажут другие регионы России?там есть недвижимость врагов России?,1694850084,708860749
5423123,Давно пора,1694851628,760007785
5423123,"По моему многие уже знают кто купил и за сколько, за сколько ещё купят",1694855779,688169677
5423123,"Отлично, это как не как будут деньги для бютжета, так что мне кажется что тут они приняли совершено верное решение о продажи этих квартир.",1694856501,810582834
5423123,"а что зря имуществк то простаивать. украинским ворам оно все равно не потребуется больше, а вот деньги с продажи на благое дело отправить можно",1694858504,683607072
5423123,"В итоге эти дньги пойдут на развитие новых регионов и помощь бойцам на СВО, так что одни плюсы",1694859742,816083357
5423123,"О, ну как минимум хорошо, что киевские чинуши в Россиейском регионе не будут недвижку иметь, нечего этим убийцам там делать!",1694861517,701797806
5423123,Бабка надвое сказала,1694864232,782847410
5423123,815 млн? взяли по дешевке,1694873492,125326366
5423123,"8 объектов на 815 млн.
Купили российские олигархи. Работяги платят ипотеку.",1694873495,272129015
5423123,,1694905412,107238525
5423123,А когда будут бомбить логово зверя кУев?,1694931454,806259411
5423123,Неужели?,1694933879,782847410
5423123,"Правильно, так надо и делать",1694976124,812009753
3801115,А с чего погашать то?,1616820992,156550893
3801115,Издеваются? Зря ли второго после Чубайса вредителя поставили управлять деньгами граждан!,1616825672,317625915
3801115,Досрочно? Глупость какая то Зачем брать кредит если есть деньги на досрочное погашение?,1616827436,317914812
3801115,Банкиры веселятся и управы на них нет!,1616837756,467393622
4399133,Нет войне,1656931149,708101606
4849708,значит она не падает?,1672163185,748905947
4849708,Боли нет! Боль у тебя в голове.,1672163637,168038794
4849708,"Если не объективный , значит имеет субъективный характер ... кто приказал или хорошо попросил ? У нас Центробанк отвечает за устойчивость рубля , а там Набиуллина , она ослабляет рубль ? Или же нефтяники и газовики поджимают ? 🤔😎",1672164442,392314240
4849708,"Усы и борода, совсем не значат, что ты стал мудрей!",1672169769,562354834
4849708,"Умные слова, давно всем ясно , что рубль целенаправленно опускают банкиры во главе цб",1672196382,613106858
4849708,,1672198669,263639645
