post_id,text,comment_time,from_id,clean_text,keyword_i,mood
262150,"Уинстон Черчеилль, став премьер-министром Великобритании первым распоряжением приказал: ""Исполнять только мои письменные приказы!"" 
Президент США работает исполнительными приказами, распоряжениями, которые публикуются после их исполнения или немедленно!!! 
 
Банда в Кремле не может издать такой Приказ и принять такой порядок работы, потому что все их приказы ПРЕСТУПНЫ! 
 
В Кремле давно нет мозгов, либо эти мозги в жопе... 
 
Что будут делать обезьяны в Кремле, если расследование шизофреников приведёт к самим шизофреникам или их друзьям в Белоруссии и Польше. 
 
А что будут делать в Кремле, если в ответ на эти глупые обвинения Белый Дом США захочет опубликовать материалы расследования 11 сентября 2001 года, когда Путин, Иванов, Патрушев под видеокамеру рассказывают, кивая на Ельциных, что это они отдали приказ на проведение террористического акта 11 сентября 2001 года вместе с друзьями в Европе, по заказу Европы... 
 
В китайской мифологии, то что делают слабоумные шизофреники в Кремле, называется ""Дёргать тигра за усы"".",1677989646,461379477,уинстон черчеилль став премьерминистром великобритании первым распоряжением приказал исполнять только мои письменные приказы  президент сша работает исполнительными приказами распоряжениями которые публикуются после их исполнения или немедленно    банда в кремле не может издать такой приказ и принять такой порядок работы потому что все их приказы преступны    в кремле давно нет мозгов либо эти мозги в жопе    что будут делать обезьяны в кремле если расследование шизофреников приведёт к самим шизофреникам или их друзьям в белоруссии и польше    а что будут делать в кремле если в ответ на эти глупые обвинения белый дом сша захочет опубликовать материалы расследования 11 сентября 2001 года когда путин иванов патрушев под видеокамеру рассказывают кивая на ельциных что это они отдали приказ на проведение террористического акта 11 сентября 2001 года вместе с друзьями в европе по заказу европы    в китайской мифологии то что делают слабоумные шизофреники в кремле называется дёргать тигра за усы,0,-0.20770934224128723
262150,Я знаю хорошую лечебницу где могут подлечить твою шизофрению.,1677995725,720738261,я знаю хорошую лечебницу где могут подлечить твою шизофрению,0,0.2190593034029007
65544,поэтому у нас борьба с инфляцией превращается в борьбу с реальными доходами населения,1402837915,21083339,поэтому у нас борьба с инфляцией превращается в борьбу с реальными доходами населения,0,-0.12381650321185589
65544,Это что то новенькое.  А инфляцию потушить можно гиперинфляцией))),1402838179,4481124,это что то новенькое  а инфляцию потушить можно гиперинфляцией,0,0.06290291994810104
65544,"[id4481124|Виктор], смотри на график роста денежной массы и снижение инфляции. Факт есть факт. Выкинь свою методичку по экономике теперь",1402839696,20583659,id4481124виктор смотри на график роста денежной массы и снижение инфляции факт есть факт выкинь свою методичку по экономике теперь,0,0.05614297837018967
65544,"[id21083339|Евгений], у нас борьба с инфляцией превращается в борьбу с экономическим ростом. Источника дешевых длинных денег в стране нет.",1402839846,20583659,id21083339евгений у нас борьба с инфляцией превращается в борьбу с экономическим ростом источника дешевых длинных денег в стране нет,0,-0.29433141089975834
65544,"График инфляции и роста денежной массы со страницы ""Инфляция"" с Википедии. Рост массы не сразу поднимает инфляцию, а лишь про прошествии некоторого времени. Плюс - темп инфляции очень агрегированный показатель и не отображает всей картины. В следствии вброса денег на какие-то виды товаров цены могут повышаться, но при этом цены на другие товары могут понизиться в следствии других факторов - снижения издержек, например. На компьютерную технику цены понижаются, невзирая на инфляцию.",1402840381,3821620,график инфляции и роста денежной массы со страницы инфляция с википедии рост массы не сразу поднимает инфляцию а лишь про прошествии некоторого времени плюс  темп инфляции очень агрегированный показатель и не отображает всей картины в следствии вброса денег на какието виды товаров цены могут повышаться но при этом цены на другие товары могут понизиться в следствии других факторов  снижения издержек например на компьютерную технику цены понижаются невзирая на инфляцию,0,-0.19331543892621994
65544,"Факт, конечно факт, но в экономике есть такая беда - нельзя зафиксировать один фактор, чтобы понять от чего меняется другой. То бишь всё меняется одновременно. Падение темпов инфляции с 99 до 08 гг., почти наверняка объясняется ростом производства. Если ден.масса выросла на 10%, а производство на 5%, то грубо инфляция будет 5%. На этот период как раз пришлось восстановление всей нефтянки, стимулирование её к большей доле переработки, модернизация металлургии, развитие ритейла, восстановление с\х, некоторый рост химии. Сейчас же производство не растёт, источники существенного прироста выпуска закончились, и не из-за дороговизны кредитов. Набиуллина, по видимому, пытается разломать т.н. инфляционную спираль, когда в экономике все адаптировались к стабильно высокой инфляции и, например, всё индексируется на её темп, что в следующем витке опять же подстёгивает инфляцию. Эти ожидания нужно разбивать. Параллельно, к примеру, идёт либерализация электроэнергетики - существенного источника этой индексируемости. ИМХО в нынешних условиях все проблемы с ростом ВВП уже связаны не с ден.массой, а со структурой экономики и ограниченностью притока иностранных инвестиций и технологий. Это, в общем, понятно и из известной модели Солоу. Хотя для интересующихся есть и полноценные оценки потенциального темпа роста ВВП России, которые показывают то же самое.",1402843158,7913923,факт конечно факт но в экономике есть такая беда  нельзя зафиксировать один фактор чтобы понять от чего меняется другой то бишь всё меняется одновременно падение темпов инфляции с 99 до 08 гг почти наверняка объясняется ростом производства если денмасса выросла на 10 а производство на 5 то грубо инфляция будет 5 на этот период как раз пришлось восстановление всей нефтянки стимулирование её к большей доле переработки модернизация металлургии развитие ритейла восстановление сх некоторый рост химии сейчас же производство не растёт источники существенного прироста выпуска закончились и не изза дороговизны кредитов набиуллина по видимому пытается разломать тн инфляционную спираль когда в экономике все адаптировались к стабильно высокой инфляции и например всё индексируется на её темп что в следующем витке опять же подстёгивает инфляцию эти ожидания нужно разбивать параллельно к примеру идёт либерализация электроэнергетики  существенного источника этой индексируемости имхо в нынешних условиях все проблемы с ростом ввп уже связаны не с денмассой а со структурой экономики и ограниченностью притока иностранных инвестиций и технологий это в общем понятно и из известной модели солоу хотя для интересующихся есть и полноценные оценки потенциального темпа роста ввп россии которые показывают то же самое,0,-0.36456822976469994
65544,"[id7913923|Егор], зачем равняться на иностранные инвестиции это бред какой то, в стране должен быть создан мощный инвестиционный институт, а ЦБ должен обеспечить страну длинными деньгами. З@еб@ло слушать про сказки ""иностранных инвесторов""",1402843844,20583659,id7913923егор зачем равняться на иностранные инвестиции это бред какой то в стране должен быть создан мощный инвестиционный институт а цб должен обеспечить страну длинными деньгами зебло слушать про сказки иностранных инвесторов,0,-0.243122735992074
65544,"[id20583659|Никита], смотри на рост цен на все товары, услуги и ЖКХ...",1402844023,4481124,id20583659никита смотри на рост цен на все товары услуги и жкх,0,-0.017597874626517296
